,participant_id,path_num,person_robot,turn_num,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
50,2103,1,robot,1,349,460,-58,-0.8001630068225641,0.29845093668110295,191.61236992461394,-7,0.1424897544889345,0.39239136517179124,64.23918511268522,2.354984892050056,0.27750450450450453,45.49989957993556,0.38156802489837616
51,2103,2,person,1,584,652,-8,-0.04993838787372314,0.3612109608730951,62.416971936065636,-11,0.32434097505751414,0.7049217078244904,42.010174543570656,2.7752331209047667,0.41345588235294123,52.15133452443842,0.5515486531152064
52,2103,2,person,2,1045,1115,4,0.6490535297186194,0.6742428652490076,39.55357536643736,-3,0.49516537079122164,0.5069260171946484,41.359470496254346,0.6764599210339585,0.29807142857142854,65.8215726713796,0.40361400901559297
53,2103,2,robot,1,558,634,43,-0.44996558868643693,0.4378486796470581,112.3968522099933,-4,0.6191931462714617,0.6383135380862922,29.580010666652502,3.1590847265359803,0.3329342105263158,38.46478443386298,0.3421076992799879
54,2103,2,robot,2,1049,1142,0,0.7913626326827584,0.7913626326827584,35.42622248005908,-2,0.5400638556924591,0.5530799315652684,38.937635988680405,0.8748017287026832,0.282752688172043,54.1284968071079,0.3428963012746522
55,2103,3,person,1,116,161,-7,0.3443809798879373,0.5473558646322493,26.93347003359152,-15,-0.08992893551693237,0.5294377244470504,45.09626157734662,3.6327987560829986,0.4816444444444444,59.834529812408284,0.4009033734393511
56,2103,3,person,2,420,489,-36,-0.5519227529312754,0.4289790204717493,99.20839646274334,-3,0.5543303605057321,0.6235950675638379,43.3746219365976,1.5011085468530885,0.3508840579710145,46.363123177648724,0.430297049960084
57,2103,3,robot,1,129,180,-5,0.3806186785535002,0.5353530706100763,31.171035887926642,-18,-0.2011808959445501,0.5192720393168836,36.88259226091224,3.0360617221698463,0.5031176470588236,51.80634990740019,0.41662062790696325
58,2103,3,robot,2,428,511,-36,-0.44641206560622504,0.3844713276463492,103.24630297974231,-1,0.44624623608888686,0.47140243210321314,51.510075618776526,1.1606326486017844,0.30855421686746987,43.933867821082686,0.38772459485802563
59,2104,1,person,1,618,810,-164,0.017610419527956826,0.2456564683737116,154.4869591113755,4,0.6880192300494293,0.8501101712013924,53.05957997886461,1.9201438772042219,0.17969791666666665,69.20444823636134,0.3557626989883043
60,2104,1,robot,1,756,806,3,0.460395167513326,0.5732065735988383,32.75127268842702,3,0.671906514797292,0.837747306639682,20.20808032638806,1.2713981477398426,0.278,71.89430410543164,0.2704094801908863
61,2104,2,person,1,45,84,-12,0.20966111206759316,0.49994483629292535,29.26417698504739,0,0.6161077868874759,0.6161077868874759,23.50926149986959,1.1287431561708892,0.13774358974358977,52.9312200962486,0.3525997599528763
62,2104,2,robot,1,50,89,-11,-0.06527581513649651,0.3823778099093081,34.997179284221296,0,0.576870056218129,0.576870056218129,30.73895756290227,0.9455433541323436,0.14356410256410254,59.23503109255762,0.36675944667040833
