,participant_id,path_num,person_robot,turn_num,start_idx,end_idx,walking_direction_lag,walking_direction_base_corr,walking_direction_lagged_corr,walking_direction_dtw,speeds_lag,speeds_base_corr,speeds_lagged_corr,speeds_dtw,mean_distance,mean_speed_difference,mean_walking_direction_difference,mean_pace_asymmetry
74,2103,2,person,1,54,221,-41,0.026361738363959993,0.3508246069280513,107.64270121813168,7,0.22280402132269422,0.4403674566770792,90.53232104041494,5.589125316630916,0.09419161676646706,85.85598133146287,0.45257233196573476
75,2103,2,person,2,604,633,-5,0.588432443421162,0.7153240097463005,18.628971479590557,-7,0.28814759254324296,0.7078376167962139,16.64078698657492,2.8357135466179635,0.28386206896551724,50.174653336613645,0.5042857107859734
76,2103,2,person,3,677,714,13,-0.30423880801576064,0.373547114624715,38.79751298013399,0,0.6797934510528935,0.6797934510528935,23.888716188285663,1.358635668946399,0.2931621621621622,56.86832759599833,0.4714072554709217
77,2103,2,person,4,930,956,-4,0.23484990111685156,0.6164402215788095,18.6668143943483,-1,0.3142344195732685,0.3796566658595849,18.024399066089103,1.1918780436036336,0.31869230769230766,34.57167441371755,0.2845118998225056
78,2103,2,person,5,1060,1101,3,0.5827206009895711,0.709242690851659,25.42997262685011,0,0.44895265669418566,0.44895265669418566,23.86961583480757,0.7203606233741185,0.2573170731707317,76.03943128243583,0.39759709177284847
79,2103,2,robot,1,61,232,-41,0.1169224575248801,0.3913137339439664,99.26473403052988,-1,0.7586521168965557,0.7649775467052812,56.166965403858555,5.605209526080363,0.10316959064327487,81.20942076314562,0.43892341976153276
80,2103,2,robot,2,578,634,43,-0.2491056034559969,0.6168932566356162,61.42212642140646,-3,0.5083464578765583,0.5629408982514895,25.63194139082593,2.9891261208455546,0.3381785714285715,47.82722212922051,0.40370600541859775
81,2103,2,robot,3,640,709,18,-0.23656413006969326,0.33049437788668234,50.153702504802204,8,0.18827012877486937,0.5572591184592772,44.3623425925828,1.628596580761983,0.422,57.659115349432184,0.5675981114606474
82,2103,2,robot,4,1064,1128,0,0.6503758977310446,0.6503758977310446,36.53986989997008,-29,0.06057471928079499,0.33347706366291885,36.712230098976484,0.8715889697107826,0.33959375,71.1371577605031,0.461682474136825
83,2103,3,person,1,126,152,-4,0.08829561293353827,0.34076205989408836,25.766411909834346,20,-0.22684044801466807,0.4205862453850402,23.96651153282581,3.820706909723458,0.4587307692307693,60.681333665353456,0.4008246298215528
